savename=scrambled_descriptions; dataset=imagenetv2; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,68.68000030517578,0.2139419453681329,69.01999711990356,68.29000115394592,90.47857267516,0.17771833362417314,90.89000225067139,90.31000137329102
savename=scrambled_descriptions; dataset=imagenet; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,74.4740000792912,0.10755962861809022,74.63200092315674,74.34599995613098,94.14742844445365,0.06248786771703957,94.23199892044067,94.01400089263916
savename=scrambled_descriptions; dataset=cub; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,63.78026604652405,0.13204101566783522,63.94546031951904,63.6002779006958,92.42319805281502,0.08505422216449562,92.57853031158447,92.31964349746704
savename=scrambled_descriptions; dataset=eurosat; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,55.97566195896694,2.011426742360334,58.46666693687439,52.57037281990051,93.62116370882306,1.3564206629567974,95.06666660308838,91.20000004768372
savename=scrambled_descriptions; dataset=places365; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,41.28649703093937,0.22633565416982424,41.56986176967621,40.8109575510025,70.03718188830784,0.14577471371356018,70.3068494796753,69.87671256065369
savename=scrambled_descriptions; dataset=food101; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,92.29419997760228,0.20453941413805343,92.59405732154846,91.88514947891235,99.1949064391,0.03785143688434753,99.25544261932373,99.13663268089294
savename=scrambled_descriptions; dataset=pets; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,93.52489965302604,0.18477316918208822,93.86754035949707,93.21340918540955,99.86372334616524,0.03568545604383744,99.91823434829712,99.80921149253845
savename=scrambled_descriptions; dataset=dtd; mode=scrambled_descriptions; reps=7; model_size=ViT-L/14,53.28267386981419,1.117822875748091,55.15957474708557,51.48935914039612,82.735561473029,0.6951963678004311,83.61701965332031,81.7553162574768
savename=scrambled_descriptions; dataset=imagenetv2; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,55.12999892234802,0.12011956877485727,55.29000163078308,54.909998178482056,82.49999965940204,0.060946390830177534,82.59000182151794,82.41999745368958
savename=scrambled_descriptions; dataset=imagenet; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,62.57371391568865,0.11963942982846638,62.74399757385254,62.414002418518066,88.11542817524501,0.06371143859368061,88.17999958992004,87.98199892044067
savename=scrambled_descriptions; dataset=cub; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,52.18205877712795,0.2794951558003448,52.657920122146606,51.846736669540405,84.34587376458305,0.16708068065852358,84.65654253959656,84.17328000068665
savename=scrambled_descriptions; dataset=eurosat; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,40.483068568365915,2.518662615491737,44.7518527507782,37.35185265541077,84.51164194515773,2.122127836272097,86.65555715560913,79.88518476486206
savename=scrambled_descriptions; dataset=places365; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,39.90724044186728,0.08226208093002332,40.005478262901306,39.76438343524933,70.93268207141331,0.09968743292911104,71.12602591514587,70.80274224281311
savename=scrambled_descriptions; dataset=food101; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,82.45657852717808,0.12516208035253049,82.69307017326355,82.26534724235535,96.72362123216901,0.07387221852391418,96.78019881248474,96.55049443244934
savename=scrambled_descriptions; dataset=pets; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,86.11143571989876,0.3730975169674172,86.56309843063354,85.30935049057007,98.55157051767621,0.7381880446835757,99.50940012931824,97.38348126411438
savename=scrambled_descriptions; dataset=dtd; mode=scrambled_descriptions; reps=7; model_size=ViT-B/32,41.58054717949459,0.3136742666356182,42.180851101875305,41.170212626457214,74.3844985961914,0.788372271865912,75.63830018043518,72.97872304916382
savename=scrambled_descriptions; dataset=imagenetv2; mode=scrambled_descriptions; reps=7; model_size=RN50,52.187143904822214,0.2078265522068517,52.45000123977661,51.840001344680786,80.58285628046308,0.0718564294137104,80.65999746322632,80.44999837875366
savename=scrambled_descriptions; dataset=imagenet; mode=scrambled_descriptions; reps=7; model_size=RN50,59.207143102373394,0.05382343956447141,59.28400158882141,59.126001596450806,85.8137139252254,0.0711169703003708,85.93000173568726,85.70600152015686
savename=scrambled_descriptions; dataset=cub; mode=scrambled_descriptions; reps=7; model_size=RN50,47.62315664972578,0.37425174896040936,48.29133450984955,47.221264243125916,81.84821775981358,0.1631392195957239,82.10217356681824,81.6189169883728
savename=scrambled_descriptions; dataset=eurosat; mode=scrambled_descriptions; reps=7; model_size=RN50,34.979365127427236,2.002439745245657,37.929630279541016,32.53703713417053,79.76296373776027,3.1365458739318086,86.15925908088684,75.01111030578613
savename=scrambled_descriptions; dataset=places365; mode=scrambled_descriptions; reps=7; model_size=RN50,37.90528391088758,0.17339811587539491,38.20821940898895,37.69862949848175,69.16399257523673,0.11308090781237148,69.35616731643677,69.04657483100891
savename=scrambled_descriptions; dataset=food101; mode=scrambled_descriptions; reps=7; model_size=RN50,78.34851486342293,0.13582952854568578,78.5504937171936,78.14653515815735,95.42857153075082,0.07177941125856926,95.5524742603302,95.36237716674805
savename=scrambled_descriptions; dataset=pets; mode=scrambled_descriptions; reps=7; model_size=RN50,85.08351785796029,0.3440533379493897,85.55464744567871,84.62796211242676,99.37701906476703,0.08423189355321621,99.45489168167114,99.18233752250671
savename=scrambled_descriptions; dataset=dtd; mode=scrambled_descriptions; reps=7; model_size=RN50,39.24012226717813,0.9786215348243714,40.3723418712616,37.87234127521515,70.98024317196437,1.201184520745825,72.60638475418091,69.57446932792664
