savename=swapped_descriptions; dataset=imagenetv2; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,66.43857104437691,0.11800976178912019,66.68999791145325,66.3100004196167,88.79285710198539,0.17506895144015433,89.06000256538391,88.52999806404114
savename=swapped_descriptions; dataset=imagenet; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,72.06685628209796,0.15301498846643496,72.29200005531311,71.89599871635437,92.72200039454869,0.11203157418771292,92.94400215148926,92.56399869918823
savename=swapped_descriptions; dataset=cub; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,63.615070070539204,0.4386148057893564,64.30790424346924,63.03071975708008,92.47004304613385,0.1739945096061416,92.78563857078552,92.18156933784485
savename=swapped_descriptions; dataset=eurosat; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,51.49153470993042,4.887823443308111,57.770371437072754,42.28518605232239,94.22539728028434,1.8522766637554173,97.83703684806824,92.01111197471619
savename=swapped_descriptions; dataset=places365; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,37.05675091062273,0.40801508396155134,37.60274052619934,36.18082106113434,64.35655610901969,0.5223380152817926,65.44931530952454,63.695889711380005
savename=swapped_descriptions; dataset=food101; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,91.30410041127887,0.2983485370803681,91.56039357185364,90.70494771003723,99.09080522400993,0.02617117108934712,99.12078976631165,99.04554486274719
savename=swapped_descriptions; dataset=pets; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,93.73904892376491,0.2831394697107482,94.03107166290283,93.13164353370667,99.85204339027405,0.03210805358400602,99.91823434829712,99.80921149253845
savename=swapped_descriptions; dataset=dtd; mode=swapped_descriptions; reps=7; model_size=ViT-L/14,49.840426445007324,0.7750017855483331,51.01063847541809,48.457446694374084,76.93009035927909,1.0075207474266752,79.04255390167236,75.47872066497803
savename=swapped_descriptions; dataset=imagenetv2; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,52.47571383203779,0.387550610760457,52.920001745224,51.920002698898315,80.13857177325657,0.3092581597707888,80.61000108718872,79.6500027179718
savename=swapped_descriptions; dataset=imagenet; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,59.62657247270857,0.11859909257106276,59.79200005531311,59.43800210952759,86.09428576060704,0.12877696537510436,86.31200194358826,85.88399887084961
savename=swapped_descriptions; dataset=cub; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,52.51984851700919,0.4059193179871099,53.037625551223755,51.91577672958374,84.24232006072998,0.1449904443599959,84.48395133018494,84.01795029640198
savename=swapped_descriptions; dataset=eurosat; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,33.634391852787566,4.157798575882041,40.69259166717529,25.966668128967285,85.87407299450466,3.973810804452285,92.21110939979553,80.45555353164673
savename=swapped_descriptions; dataset=places365; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,35.518981729234966,0.31883790530983347,35.8958899974823,34.920549392700195,64.88140906606402,0.4260319104739242,65.65479636192322,64.4657552242279
savename=swapped_descriptions; dataset=food101; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,81.70919418334961,0.3509998320954821,82.22178220748901,81.17623925209045,96.73550299235752,0.06760060868579906,96.83960676193237,96.64554595947266
savename=swapped_descriptions; dataset=pets; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,86.24381933893476,0.5300478120942672,86.80839538574219,85.36385893821716,98.38025144168309,0.4729440235726055,99.31861758232117,97.92858958244324
savename=swapped_descriptions; dataset=dtd; mode=swapped_descriptions; reps=7; model_size=ViT-B/32,38.419452735355925,1.1435599439436421,40.797871351242065,37.12765872478485,68.2446803365435,1.772162674788676,70.69149017333984,65.69148898124695
savename=swapped_descriptions; dataset=imagenetv2; mode=swapped_descriptions; reps=7; model_size=RN50,49.781428064618794,0.20024434122245688,50.09999871253967,49.43999946117401,78.09428572654724,0.24755064280236058,78.40999960899353,77.5600016117096
savename=swapped_descriptions; dataset=imagenet; mode=swapped_descriptions; reps=7; model_size=RN50,56.35028651782444,0.05767240123334678,56.42399787902832,56.238001585006714,83.70028478758675,0.09651946952088938,83.79999995231628,83.54799747467041
savename=swapped_descriptions; dataset=cub; mode=swapped_descriptions; reps=7; model_size=RN50,47.67000377178192,0.34146671924963806,48.153263330459595,47.03141152858734,81.67315806661334,0.17343469006595674,81.99861645698547,81.46358132362366
savename=swapped_descriptions; dataset=eurosat; mode=swapped_descriptions; reps=7; model_size=RN50,28.16560800586428,4.443546063115817,35.92592477798462,21.788889169692993,77.41957817758832,4.674054365586377,82.89629817008972,70.12222409248352
savename=swapped_descriptions; dataset=places365; mode=swapped_descriptions; reps=7; model_size=RN50,33.769080468586516,0.3425036501325262,34.315067529678345,33.24109613895416,63.270058802195955,0.40941375350193754,63.98082375526428,62.62739896774292
savename=swapped_descriptions; dataset=food101; mode=swapped_descriptions; reps=7; model_size=RN50,77.58076531546456,0.2949095429181133,78.26138734817505,77.30296850204468,95.55247596332005,0.12731549404159742,95.6990122795105,95.33465504646301
savename=swapped_descriptions; dataset=pets; mode=swapped_descriptions; reps=7; model_size=RN50,84.6007091658456,0.640025313190826,85.55464744567871,83.53775143623352,99.14729595184326,0.15873417240414361,99.40038323402405,98.90978336334229
savename=swapped_descriptions; dataset=dtd; mode=swapped_descriptions; reps=7; model_size=RN50,35.828267676489695,1.1128004046387219,36.968085169792175,33.29787254333496,65.5775078705379,1.7955983875298727,67.76595711708069,61.702126264572144
