savename=waffleclip; dataset=imagenetv2; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,69.48428494589669,0.08033205808711852,69.62000131607056,69.37999725341797,90.78571455819267,0.046246417658973756,90.85999727249146,90.72999954223633
savename=waffleclip; dataset=imagenet; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,75.30342766216823,0.04338108945792614,75.37599802017212,75.24799704551697,94.48514240128654,0.008870004777099484,94.49399709701538,94.46600079536438
savename=waffleclip; dataset=cub; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,64.1821597303663,0.12873121103498034,64.34242129325867,63.962721824645996,92.03116468020848,0.19057064013305197,92.23334193229675,91.69830679893494
savename=waffleclip; dataset=eurosat; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,61.16772379193987,0.3532880403272239,61.6518497467041,60.56666374206543,96.1206351007734,0.355487621007228,96.58148288726807,95.47407627105713
savename=waffleclip; dataset=places365; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,42.262230600629536,0.09535428249308145,42.40821897983551,42.09589064121246,70.55616463933673,0.06672406784044592,70.63561677932739,70.42739987373352
savename=waffleclip; dataset=food101; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,93.31315415246146,0.09476387930831631,93.46930980682373,93.22376251220703,99.37934875488281,0.017160492952429628,99.41385984420776,99.3584156036377
savename=waffleclip; dataset=pets; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,91.98302371161324,0.11230897164209556,92.20495820045471,91.8506383895874,99.2212746824537,0.21942981785300147,99.5911717414856,98.93704056739807
savename=waffleclip; dataset=dtd; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14,53.94376942089626,0.2905475444348964,54.41489219665527,53.5106360912323,80.26595711708069,0.3278924856334635,80.6382954120636,79.84042763710022
savename=waffleclip; dataset=imagenetv2; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32,55.90714301381792,0.11041701595629497,56.11000061035156,55.73999881744385,83.04714390209743,0.11335166342426342,83.27999711036682,82.9200029373169
savename=waffleclip; dataset=imagenet; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32,63.3102868284498,0.09105948009955912,63.42200040817261,63.134002685546875,88.5537156036922,0.04681181061919899,88.60200047492981,88.47200274467468
savename=waffleclip; dataset=cub; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32,52.386705364499775,0.11400587507754532,52.606141567230225,52.24369764328003,83.75412992068699,0.14665616286755107,83.94891023635864,83.51743221282959
savename=waffleclip; dataset=eurosat; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32,44.31164009230478,1.0674852848360612,45.70740759372711,42.15185046195984,91.93809458187648,0.689425976879227,92.8074061870575,90.7444417476654
savename=waffleclip; dataset=places365; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32,40.562425766672405,0.07365580008672698,40.619176626205444,40.38630127906799,71.21761185782296,0.06823265988970652,71.29862904548645,71.11232876777649
savename=waffleclip; dataset=food101; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32,83.25035401753017,0.20793027224502197,83.72673392295837,83.06534886360168,97.04215100833348,0.09140706989108636,97.2158432006836,96.90693020820618
savename=waffleclip; dataset=pets; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32,85.71039182799203,0.2479732014968492,85.9907329082489,85.36385893821716,97.37958822931562,0.009535948807856605,97.38348126411438,97.35623002052307
savename=waffleclip; dataset=dtd; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32,43.16109376294272,0.24599473916578185,43.510639667510986,42.872339487075806,73.70060852595738,0.25087473596993276,74.04255270957947,73.35106134414673
savename=waffleclip; dataset=imagenetv2; mode=waffle; waffle_count=15; reps=7; model_size=RN50,52.88857136453901,0.17066577371348435,53.25000286102295,52.730000019073486,81.02999925613403,0.10515298883128955,81.20999932289124,80.9000015258789
savename=waffleclip; dataset=imagenet; mode=waffle; waffle_count=15; reps=7; model_size=RN50,60.119142702647615,0.12391616061156967,60.38399934768677,59.97999906539917,86.18114250046867,0.08403300386800847,86.3319993019104,86.04999780654907
savename=waffleclip; dataset=cub; mode=waffle; waffle_count=15; reps=7; model_size=RN50,47.7119186094829,0.18493689952251127,47.99792766571045,47.41111397743225,81.95917095456805,0.10547428419522877,82.17121362686157,81.86054825782776
savename=waffleclip; dataset=eurosat; mode=waffle; waffle_count=15; reps=7; model_size=RN50,31.31851851940155,0.4654133652214447,31.999999284744263,30.662962794303894,80.53809489522662,0.7584383805443282,81.99999928474426,79.3666660785675
savename=waffleclip; dataset=places365; mode=waffle; waffle_count=15; reps=7; model_size=RN50,38.30528387001583,0.09927866459137337,38.484930992126465,38.14520537853241,69.36360086713519,0.09633914892145473,69.5342481136322,69.24657821655273
savename=waffleclip; dataset=food101; mode=waffle; waffle_count=15; reps=7; model_size=RN50,79.67751026153564,0.15451935002418155,80.03564476966858,79.51287031173706,96.30495139530727,0.060212162356299025,96.44752740859985,96.25346660614014
savename=waffleclip; dataset=pets; mode=waffle; waffle_count=15; reps=7; model_size=RN50,84.33204804147992,0.15170184832827444,84.57345366477966,84.0283453464508,97.32897196497235,0.02913758385800476,97.38348126411438,97.3017156124115
savename=waffleclip; dataset=dtd; mode=waffle; waffle_count=15; reps=7; model_size=RN50,39.285714285714285,0.30070480206219935,39.89361822605133,38.88297975063324,70.83586709839958,0.34788811066128894,71.59574627876282,70.42553424835205
