savename=waffleclip_concepts; dataset=cub; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a bird: a ,63.403027398245676,0.17230988707535372,63.58301639556885,63.09975981712341,93.0050790309906,0.10943469690713029,93.1998610496521,92.87193417549133
savename=waffleclip_concepts; dataset=eurosat; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a land use: a ,60.19576702799116,0.8708226889187901,61.96296215057373,59.155553579330444,95.43280346052987,0.46737672106425915,96.37036919593811,94.98518705368042
savename=waffleclip_concepts; dataset=places365; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a place: a ,42.57064546857561,0.088325732101645,42.73972511291504,42.43561625480652,70.26614461626325,0.11034316738342016,70.39178013801575,70.06575465202332
savename=waffleclip_concepts; dataset=food101; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a food: a ,93.65487950188773,0.054976672665656263,93.74257326126099,93.56435537338257,99.37255893434796,0.012318307896407187,99.39405918121338,99.3584156036377
savename=waffleclip_concepts; dataset=pets; mode=waffle; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a breed: a ,94.38149758747646,0.07903109286790944,94.52166557312012,94.27636861801147,99.89487103053501,0.009538034535942309,99.91823434829712,99.89097714424133
savename=waffleclip_concepts; dataset=cub; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a bird: a ,52.83297981534685,0.18506865817411075,53.17569971084595,52.606141567230225,85.11021137237549,0.10587731727059595,85.26061177253723,84.94994640350342
savename=waffleclip_concepts; dataset=eurosat; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a land use: a ,48.50423336029053,0.7035456689791778,49.58148002624512,47.58518636226654,92.04761811665126,0.2597830102262772,92.34444499015808,91.67037010192871
savename=waffleclip_concepts; dataset=places365; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a place: a ,40.96908015864236,0.08089938782698373,41.063013672828674,40.84109663963318,71.08375770705086,0.05733456561464694,71.18903994560242,70.9972620010376
savename=waffleclip_concepts; dataset=food101; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a food: a ,85.2050917489188,0.05663381492329447,85.29108762741089,85.11286973953247,97.70693097795758,0.021897589369750864,97.7425754070282,97.67920970916748
savename=waffleclip_concepts; dataset=pets; mode=waffle; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a breed: a ,87.51703415598188,0.06006847473709426,87.5715434551239,87.38075494766235,99.12004045077732,0.06468640733408089,99.2095947265625,99.01880621910095
savename=waffleclip_concepts; dataset=cub; mode=waffle; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a bird: a ,48.37516673973629,0.12253873411506924,48.532965779304504,48.18778038024902,81.87533957617623,0.0785141854265144,81.981360912323,81.77424669265747
savename=waffleclip_concepts; dataset=eurosat; mode=waffle; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a land use: a ,35.07301551955087,0.4221143021596114,35.77037155628204,34.54814851284027,80.34126843724933,0.5399554261090732,81.22962713241577,79.49629426002502
savename=waffleclip_concepts; dataset=places365; mode=waffle; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a place: a ,39.02387406144823,0.07609063154839865,39.12602663040161,38.87671232223511,70.0363985129765,0.05368188755422505,70.13424634933472,69.967120885849
savename=waffleclip_concepts; dataset=food101; mode=waffle; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a food: a ,81.38896737779889,0.08263262231410383,81.51286840438843,81.2831699848175,96.81697402681623,0.03325092847020097,96.88712954521179,96.77227735519409
savename=waffleclip_concepts; dataset=pets; mode=waffle; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a breed: a ,85.84666933332171,0.1512003597480288,86.09975576400757,85.66367030143738,98.38414447648185,0.05395096961839577,98.4736979007721,98.31016659736633
